Treatments,Replicates,Dates,Soluble_Protein,Soluble_Matter,Sugar_Glucose,Sugar_Fructose,Sugar_Sucrose,Amn_Phenylalanine,Amn_Serine,Amn_AsparticAcid,Amn_Leucine,Amn_Isoleucine,Amn_Tryptophan,Amn_Methionine,Amn_Valine,Amn_Proline,Amn_Tyrosine,Amn_Cysteine,Amn_Alanine,Amn_GlutamicAcid,Amn_Glycine,Amn_Threonine,Amn_Asparagine,Amn_Histidine,Amn_Arginine,Amn_Cystine,Amn_Glutamine,Amn_Lysine,Oa_TartaricAcid,Oa_OxalicAcid,Oa_MalicAcid,Oa_CitricAcid,Oa_VC,Pa_ProtocatechuicAcid,Pa_Paraben,Pa_ChlorogenicAcid,Pa_Rutin,Pa_Quercetin,Pa_GallicAcid,Pa_Naringenin,Pa_CinnamicAcid,Pa_GentisicAcid,Pa_CaffeicAcid,Pa_Cynarin,Pa_SinapicAcid,Pa_BenzoicAcid,Pa_Kaempferol,Biological_yield ,Economic_yield,Pho_Pn,Pho_Gs,Pho_Ci,Pho_Tr
WWC,1,20230708,0.718,3.6,6.56,166.06,12.32,0.535917636,0.53435328,0.377035948,0.449878692,1.325485836,0.652063304,0.198678152,0.355272924,0.191730248,0.934160112,0.300943192,7.505986108,7.105751092,0.732006028,1.841779064,7.3076208,1.49462358,2.295449556,0.243188852,0.91107396,0.902231508,7.103459103,0.579533763,1.67680844,14.24403323,12.85403334,37.52846524,16.44561147,18.541876,1.218099874,1109.82279,1.740750459,30.09768537,0.788362926,6.104212134,313.4803922,1.701811233,90.41871159,378.4481543,2.317241379,12.7,7.2,14.8,0.448,299,7.24
WWC,2,20230708,0.705,4,6.51,163.58,12.79,0.504820724,0.514861172,0.398317068,0.413035716,1.325729716,0.644258956,0.200657796,0.329739348,0.19141688,0.807927144,0.303217968,7.020693544,6.774719264,0.698595096,1.744147604,7.015163444,1.431208272,2.221450284,0.243143476,0.890066636,0.881161592,7.31559487,0.566640153,1.544780992,13.23077374,10.24931979,37.5522507,15.95009951,18.70737041,1.215936542,1103.855917,1.688270795,30.12907022,0.6674341,6.857158446,328.6377709,1.710119641,85.9972587,372.3083598,2.306117909,12.6,6.75,14.7,0.454,309,7.2
WWC,3,20230708,0.736,3.9,6.55,166.5,10.72,0.45534416,0.464837768,0.362571148,0.38366718,1.284172296,0.648933228,0.199292696,0.309407304,0.170151628,0.846478664,0.30334914,7.532130964,7.09410228,0.583431584,1.832355764,7.088290044,1.455631224,2.119199812,0.258931936,0.9139394,0.894807532,7.851938129,0.575147929,1.725579638,13.56623464,13.26484001,37.81389071,16.01508468,19.1802116,1.217108347,1119.591299,2.129099974,29.21890938,0.688364089,6.158773461,323.4778122,1.992605517,86.21833134,360.3332234,2.33948832,13.25,6.25,14.4,0.451,301,7.4
P,1,20230708,0.604,4.6,8.57,163.63,17.08,0.549338448,0.569291516,0.212243144,0.433174976,1.38869598,0.629532348,0.209649056,0.364534528,0.22016184,0.972544232,0.301454292,7.101201268,6.010431828,0.779331108,1.76345424,6.413458464,1.533924076,2.1779395,0.250467308,0.946782904,0.938046852,6.060213648,0.659221403,2.008612194,14.53228294,18.8480935,17.92443361,12.59438691,31.71050298,1.160320894,990.3955298,4.82655471,30.01922322,0.820920687,6.093299869,456.0242518,2.37479229,126.4535526,480.0845871,2.75105673,14.76,7.75,20.3,0.49,299,8.14
P,2,20230708,0.689,4,8.22,164.6,17.17,0.479774564,0.495420052,0.204464616,0.440170264,1.277733692,0.592390748,0.227454,0.330801464,0.196518708,0.870277264,0.318173264,7.015228336,6.073227484,0.701886328,1.727474252,6.561114904,1.496238516,1.978329784,0.245903824,0.908206772,0.89935578,5.826819831,0.636415063,1.935609564,13.11028537,18.89867791,17.41304632,13.19549978,32.52615403,1.161510727,985.8355618,4.774075046,28.80306002,1.058127231,6.595264077,460.8617131,2.457876371,133.085732,474.4014715,2.639822024,14.25,7.5,19.7,0.55,304,8.66
P,3,20230708,0.678,4.1,8.31,162.17,17.47,0.495212376,0.494590956,0.191614524,0.424735268,1.331936932,0.60630486,0.212082688,0.33016818,0.197332956,0.903662156,0.302820116,7.203889012,6.094181504,0.745750948,1.693374836,6.395451136,1.492940488,2.119862044,0.247265628,0.894751752,0.885860668,5.653375494,0.643024293,2.013297663,13.65188598,18.98030274,17.60332996,12.56189432,32.63254329,1.161222282,996.1329076,5.036473367,29.48568066,0.925570633,5.8314055,443.4468524,2.100614822,124.6849715,476.8878346,2.717686318,14.78,7.65,20.1,0.53,301,8.4
C,1,20230708,0.68,4.5,9.92,161.93,10.85,0.304645508,0.286851328,0.283917572,0.271717116,0.951745336,0.440295144,0.199355176,0.244288112,0.136280456,0.572552136,0.300454484,5.546059704,6.657111284,0.600860144,1.66176366,6.970030412,1.063356724,1.712983032,0.241454248,0.777993652,0.768456728,4.941453197,0.499893699,6.539611862,9.260916428,6.976087373,28.21645953,7.380179522,48.05898694,1.198647918,681.0660547,2.496457623,23.07532366,0.367437588,5.798668704,755.3018576,1.884596211,105.4516514,532.9071166,1.705450501,12.65,6.25,18.2,0.501,308,7.91
C,2,20230708,0.65,3.9,9.31,160.48,11.6,0.317401516,0.316733784,0.27929618,0.301281124,0.941659312,0.454293172,0.182818584,0.266363972,0.15554444,0.61824044,0.305060272,5.190366948,6.318093356,0.630244456,1.642278524,6.85061012,1.178949008,1.692084528,0.24756552,0.732289788,0.722914644,5.061530046,0.495304927,6.784918836,8.886706541,6.750182027,29.41762502,7.185223996,48.55547018,1.197440058,680.6968669,2.48596169,22.61239702,0.439529773,6.191510258,799.4840041,2.341558657,106.335942,520.5260434,1.560845384,12.25,5.65,18.6,0.5,307,8.7
C,3,20230708,0.59,4,9.57,159.05,11.23,0.328488212,0.324224604,0.27495256,0.297312168,0.943041552,0.442283528,0.180482252,0.261964896,0.145830884,0.609665432,0.343618304,5.089145216,6.389447852,0.593734352,1.637554244,6.642048808,1.182651608,1.762069564,0.242367168,0.782293828,0.773067672,5.109382894,0.462883946,6.578002479,8.498701847,7.270013413,29.92901231,7.502026725,47.79892429,1.199206778,682.0239473,2.800839675,22.31424088,0.306973175,5.40582715,771.4267286,1.726736457,104.1252155,527.3762273,1.794438265,12.25,5.9,17.8,0.504,297,8.39
PC,1,20230708,0.798,3.9,8.09,167.2,13.81,0.347877444,0.350271504,0.363250296,0.323358524,1.11725758,0.40764782,0.172441028,0.274704532,0.158230732,0.767001508,0.303787356,6.3332358,6.54623262,0.757419228,1.649917356,7.569368892,1.411659076,2.022592736,0.248091696,0.816906624,0.818081552,5.583375138,0.526236211,4.218642121,6.867723239,4.582525388,19.62991021,5.446870558,29.03895029,1.181088877,828.2362802,4.910522173,48.30090231,0.50231974,8.941401135,949.3679051,3.695829179,102.577707,561.2719523,1.816685206,11.91,5.1,16.2,0.498,309,7.36
PC,2,20230708,0.842,4.3,7.96,166.65,10.63,0.325168332,0.315518384,0.353730628,0.298144832,1.068522236,0.424492732,0.184934532,0.252014976,0.147063972,0.683261364,0.333503532,5.957765292,6.289451316,0.675354488,1.654361816,7.111216868,1.41215286,1.935027068,0.253303696,0.786919768,0.777707396,5.488203117,0.533668342,4.272902875,6.81254401,4.12879862,18.90445383,5.601210349,28.74342455,1.181431404,812.0279385,5.550774075,47.77520596,0.516273067,9.225120035,930.3405573,3.371801263,94.84016448,555.233642,1.705450501,11.45,5.7,15.52,0.488,312,7.01
PC,3,20230708,0.887,4.8,8.24,168.2,12.68,0.333568348,0.334461348,0.320428736,0.3144154,1.117980144,0.42440862,0.183385676,0.261893996,0.143524732,0.707303364,0.360725308,6.133048224,6.70820326,0.723569428,1.58082856,7.176534444,1.39618716,2.023922656,0.24973204,0.83356072,0.824487316,5.463120397,0.499443222,4.494177927,6.769924232,4.366008814,19.49909021,5.235668738,29.86642237,1.181323238,815.3206945,5.372343217,48.80306002,0.551156382,8.854103012,958.3978328,3.321950814,94.39801919,552.9502474,1.749944383,11.6,6.26,15.9,0.484,315,7.58
F,1,20230708,0.863,4.1,6.4,166.34,11.48,0.33709746,0.330337372,0.172101268,0.257606656,0.84925168,0.448142064,0.176737228,0.249216564,0.158666028,0.595225836,0.299779468,5.207453348,5.262564304,0.60897272,1.524902932,6.50239464,1.017423208,1.303519244,0.244290364,0.542028792,0.522235732,5.346156651,0.396525527,3.986333545,5.232750314,5.654378233,32.28377237,19.65726006,20.04314676,1.186659456,1030.357613,11.13461034,29.79952923,0.795339589,13.8082715,450.2192982,5.09995015,297.1216342,592.6813142,1.90567297,11.32,5.13,12.1,0.422,310,7.1
F,2,20230708,0.878,3.2,6.9,165.78,13.21,0.2962153,0.307487992,0.165384484,0.245001608,0.799595248,0.42911244,0.181790896,0.241651428,0.15229308,0.554782956,0.3006895,4.758558404,4.659351188,0.591414304,1.58845762,5.601852568,0.943406116,1.252095672,0.243591472,0.547953572,0.538029184,5.820771516,0.431540097,3.841386294,5.19898392,5.995439739,32.71191057,20.39646643,21.03611325,1.185667929,1130.726801,11.59643138,30.64692036,0.823246241,14.23384985,456.3467492,5.058408109,295.1319804,585.7296461,1.861179088,11,4.92,11.4,0.398,314,7.1
F,3,20230708,0.858,3.6,7.01,167.42,12.15,0.307417916,0.300849992,0.194016756,0.251160172,0.798837208,0.414455036,0.174914556,0.24146704,0.15188214,0.524125884,0.3112344,4.98406866,4.74712504,0.606233856,1.575887248,5.85267054,1.078737104,1.303277252,0.242554328,0.50326156,0.493204012,5.522625147,0.412229788,4.058127022,5.210719801,6.110787507,31.84374145,19.66538321,20.23228323,1.185199207,1008.605468,11.66990291,29.01490781,0.818595133,14.57213007,464.7316821,4.817464274,288.7208737,593.8483826,1.994660734,10.75,4.8,12.1,0.389,308,7.05
